avg_hr_percent_max	points_per_minute
50	0.00
50.1	0.00
50.2	0.00
50.3	0.00
50.4	0.00
50.5	0.00
50.6	0.00
50.7	0.00
50.8	0.00
50.9	0.00
51	0.00
51.1	0.00
51.2	0.00
51.3	0.00
51.4	0.00
51.5	0.00
51.6	0.00
51.7	0.00
51.8	0.00
51.9	0.00
52	0.00
52.1	0.00
52.2	0.00
52.3	0.00
52.4	0.00
52.5	0.00
52.6	0.00
52.7	0.00
52.8	0.00
52.9	0.00
53	0.00
53.1	0.00
53.2	0.00
53.3	0.00
53.4	0.00
53.5	0.00
53.6	0.00
53.7	0.00
53.8	0.00
53.9	0.00
54	0.00
54.1	0.00
54.2	0.00
54.3	0.00
54.4	0.00
54.5	0.00
54.6	0.00
54.7	0.00
54.8	0.00
54.9	0.00
55	0.00
55.1	0.00
55.2	0.00
55.3	0.00
55.4	0.00
55.5	0.00
55.6	0.00
55.7	0.00
55.8	0.00
55.9	0.00
56	0.00
56.1	0.00
56.2	0.00
56.3	0.00
56.4	0.00
56.5	0.00
56.6	0.00
56.7	0.00
56.8	0.00
56.9	0.00
57	0.00
57.1	0.00
57.2	0.00
57.3	0.00
57.4	0.00
57.5	0.00
57.6	0.00
57.7	0.00
57.8	0.00
57.9	0.00
58	0.50
58.1	0.50
58.2	0.50
58.3	0.50
58.4	0.50
58.5	0.50
58.6	0.50
58.7	0.50
58.8	0.50
58.9	0.50
59	0.50
59.1	0.50
59.2	0.50
59.3	0.50
59.4	0.50
59.5	0.50
59.6	0.50
59.7	0.50
59.8	0.50
59.9	0.50
60	0.50
60.1	0.51
60.2	0.52
60.3	0.53
60.4	0.54
60.5	0.56
60.6	0.57
60.7	0.58
60.8	0.59
60.9	0.60
61	0.61
61.1	0.62
61.2	0.63
61.3	0.64
61.4	0.65
61.5	0.67
61.6	0.68
61.7	0.69
61.8	0.70
61.9	0.71
62	0.72
62.1	0.73
62.2	0.74
62.3	0.75
62.4	0.76
62.5	0.78
62.6	0.79
62.7	0.80
62.8	0.81
62.9	0.82
63	0.83
63.1	0.84
63.2	0.85
63.3	0.86
63.4	0.87
63.5	0.89
63.6	0.90
63.7	0.91
63.8	0.92
63.9	0.93
64	0.94
64.1	0.95
64.2	0.96
64.3	0.97
64.4	0.98
64.5	1.00
64.6	1.01
64.7	1.02
64.8	1.03
64.9	1.04
65	1.05
65.1	1.07
65.2	1.08
65.3	1.10
65.4	1.11
65.5	1.13
65.6	1.15
65.7	1.16
65.8	1.18
65.9	1.19
66	1.21
66.1	1.23
66.2	1.24
66.3	1.26
66.4	1.27
66.5	1.29
66.6	1.31
66.7	1.32
66.8	1.34
66.9	1.35
67	1.37
67.1	1.39
67.2	1.40
67.3	1.42
67.4	1.43
67.5	1.45
67.6	1.47
67.7	1.48
67.8	1.50
67.9	1.51
68	1.53
68.1	1.55
68.2	1.56
68.3	1.58
68.4	1.59
68.5	1.61
68.6	1.63
68.7	1.64
68.8	1.66
68.9	1.67
69	1.69
69.1	1.71
69.2	1.72
69.3	1.74
69.4	1.75
69.5	1.77
69.6	1.79
69.7	1.80
69.8	1.82
69.9	1.83
70	1.85
70.1	1.87
70.2	1.89
70.3	1.91
70.4	1.93
70.5	1.95
70.6	1.97
70.7	1.99
70.8	2.01
70.9	2.03
71	2.05
71.1	2.07
71.2	2.09
71.3	2.11
71.4	2.13
71.5	2.15
71.6	2.17
71.7	2.19
71.8	2.21
71.9	2.23
72	2.25
72.1	2.27
72.2	2.29
72.3	2.31
72.4	2.32
72.5	2.34
72.6	2.36
72.7	2.38
72.8	2.40
72.9	2.42
73	2.43
73.1	2.45
73.2	2.47
73.3	2.49
73.4	2.51
73.5	2.53
73.6	2.54
73.7	2.56
73.8	2.58
73.9	2.60
74	2.62
74.1	2.64
74.2	2.65
74.3	2.67
74.4	2.69
74.5	2.71
74.6	2.73
74.7	2.75
74.8	2.76
74.9	2.78
75	2.80
75.1	2.82
75.2	2.84
75.3	2.85
75.4	2.87
75.5	2.89
75.6	2.91
75.7	2.93
75.8	2.94
75.9	2.96
76	2.98
76.1	3.00
76.2	3.02
76.3	3.03
76.4	3.05
76.5	3.07
76.6	3.09
76.7	3.11
76.8	3.12
76.9	3.14
77	3.16
77.1	3.18
77.2	3.20
77.3	3.21
77.4	3.23
77.5	3.25
77.6	3.27
77.7	3.29
77.8	3.30
77.9	3.32
78	3.34
78.1	3.36
78.2	3.38
78.3	3.39
78.4	3.41
78.5	3.43
78.6	3.45
78.7	3.47
78.8	3.48
78.9	3.50
79	3.52
79.1	3.54
79.2	3.56
79.3	3.57
79.4	3.59
79.5	3.61
79.6	3.63
79.7	3.65
79.8	3.66
79.9	3.68
80	3.70
80.1	3.71
80.2	3.72
80.3	3.73
80.4	3.74
80.5	3.75
80.6	3.76
80.7	3.77
80.8	3.78
80.9	3.79
81	3.80
81.1	3.81
81.2	3.82
81.3	3.83
81.4	3.84
81.5	3.85
81.6	3.86
81.7	3.87
81.8	3.88
81.9	3.89
82	3.90
82.1	3.91
82.2	3.92
82.3	3.93
82.4	3.94
82.5	3.95
82.6	3.96
82.7	3.97
82.8	3.98
82.9	3.99
83	4.00
83.1	4.01
83.2	4.02
83.3	4.03
83.4	4.04
83.5	4.05
83.6	4.06
83.7	4.07
83.8	4.08
83.9	4.09
84	4.10
84.1	4.11
84.2	4.12
84.3	4.13
84.4	4.14
84.5	4.15
84.6	4.16
84.7	4.17
84.8	4.18
84.9	4.19
85	4.20
85.1	4.22
85.2	4.24
85.3	4.26
85.4	4.28
85.5	4.30
85.6	4.32
85.7	4.34
85.8	4.36
85.9	4.38
86	4.40
86.1	4.42
86.2	4.44
86.3	4.46
86.4	4.48
86.5	4.50
86.6	4.52
86.7	4.54
86.8	4.56
86.9	4.58
87	4.60
87.1	4.62
87.2	4.64
87.3	4.66
87.4	4.68
87.5	4.70
87.6	4.72
87.7	4.74
87.8	4.76
87.9	4.78
88	4.80
88.1	4.82
88.2	4.84
88.3	4.86
88.4	4.88
88.5	4.90
88.6	4.92
88.7	4.94
88.8	4.96
88.9	4.98
89	5.00
89.1	5.02
89.2	5.04
89.3	5.06
89.4	5.08
89.5	5.10
89.6	5.12
89.7	5.14
89.8	5.16
89.9	5.18
90	5.20
90.1	5.20
90.2	5.20
90.3	5.20
90.4	5.20
90.5	5.20
90.6	5.20
90.7	5.20
90.8	5.20
90.9	5.20
91	5.20
91.1	5.20
91.2	5.20
91.3	5.20
91.4	5.20
91.5	5.20
91.6	5.20
91.7	5.20
91.8	5.20
91.9	5.20
92	5.20
92.1	5.20
92.2	5.20
92.3	5.20
92.4	5.20
92.5	5.20
92.6	5.20
92.7	5.20
92.8	5.20
92.9	5.20
93	5.20
93.1	5.20
93.2	5.20
93.3	5.20
93.4	5.20
93.5	5.20
93.6	5.20
93.7	5.20
93.8	5.20
93.9	5.20
94	5.20
94.1	5.20
94.2	5.20
94.3	5.20
94.4	5.20
94.5	5.20
94.6	5.20
94.7	5.20
94.8	5.20
94.9	5.20
95	5.20
95.1	5.20
95.2	5.20
95.3	5.20
95.4	5.20
95.5	5.20
95.6	5.20
95.7	5.20
95.8	5.20
95.9	5.20
96	5.20
96.1	5.20
96.2	5.20
96.3	5.20
96.4	5.20
96.5	5.20
96.6	5.20
96.7	5.20
96.8	5.20
96.9	5.20
97	5.20
97.1	5.20
97.2	5.20
97.3	5.20
97.4	5.20
97.5	5.20
97.6	5.20
97.7	5.20
97.8	5.20
97.9	5.20
98	5.20
98.1	5.20
98.2	5.20
98.3	5.20
98.4	5.20
98.5	5.20
98.6	5.20
98.7	5.20
98.8	5.20
98.9	5.20
99	5.20
99.1	5.20
99.2	5.20
99.3	5.20
99.4	5.20
99.5	5.20
99.6	5.20
99.7	5.20
99.8	5.20
99.9	5.20
100	5.20
